raceId,driverId,pit_stop_number,Pit_lap,pit_timestamp,pit_duration,pit_milliseconds,RaceName,driverRef
841,153,1,1,17:05:23,26.898,26898,2011-Australian Grand Prix,alguersuari
841,30,1,1,17:05:52,25.021,25021,2011-Australian Grand Prix,michael_schumacher
841,17,1,11,17:20:48,23.426,23426,2011-Australian Grand Prix,webber
841,4,1,12,17:22:34,23.251,23251,2011-Australian Grand Prix,alonso
841,13,1,13,17:24:10,23.842,23842,2011-Australian Grand Prix,massa
841,22,1,13,17:24:29,23.643,23643,2011-Australian Grand Prix,barrichello
841,20,1,14,17:25:17,22.603,22603,2011-Australian Grand Prix,vettel
841,814,1,14,17:26:03,24.863,24863,2011-Australian Grand Prix,resta
841,816,1,14,17:26:50,25.259,25259,2011-Australian Grand Prix,ambrosio
841,67,1,15,17:27:34,25.342,25342,2011-Australian Grand Prix,buemi
841,2,1,15,17:27:41,22.994,22994,2011-Australian Grand Prix,heidfeld
841,1,1,16,17:28:24,23.227,23227,2011-Australian Grand Prix,hamilton
841,808,1,16,17:28:39,24.535,24535,2011-Australian Grand Prix,petrov
841,3,1,16,17:29:00,23.716,23716,2011-Australian Grand Prix,rosberg
841,155,1,16,17:29:06,24.064,24064,2011-Australian Grand Prix,kobayashi
841,16,1,16,17:29:08,25.978,25978,2011-Australian Grand Prix,sutil
841,15,1,16,17:29:49,24.899,24899,2011-Australian Grand Prix,trulli
841,18,1,17,17:30:24,16.867,16867,2011-Australian Grand Prix,button
841,153,2,17,17:31:06,24.463,24463,2011-Australian Grand Prix,alguersuari
841,5,1,17,17:31:11,24.865,24865,2011-Australian Grand Prix,kovalainen
841,30,2,17,17:32:08,23.988,23988,2011-Australian Grand Prix,michael_schumacher
841,10,1,18,17:33:02,23.792,23792,2011-Australian Grand Prix,glock
841,18,2,19,17:33:53,23.303,23303,2011-Australian Grand Prix,button
841,815,1,23,17:40:27,23.438,23438,2011-Australian Grand Prix,perez
841,22,2,23,17:40:45,37.856,37856,2011-Australian Grand Prix,barrichello
841,17,2,26,17:44:29,22.52,22520,2011-Australian Grand Prix,webber
841,4,2,27,17:46:04,24.733,24733,2011-Australian Grand Prix,alonso
841,22,3,28,17:49:07,16.892,16892,2011-Australian Grand Prix,barrichello
841,67,2,29,17:49:47,23.1,23100,2011-Australian Grand Prix,buemi
841,2,2,30,17:51:32,25.098,25098,2011-Australian Grand Prix,heidfeld
841,13,2,31,17:52:28,24.5,24500,2011-Australian Grand Prix,massa
841,155,2,32,17:54:21,24.192,24192,2011-Australian Grand Prix,kobayashi
841,20,2,36,17:59:17,24.036,24036,2011-Australian Grand Prix,vettel
841,1,2,36,17:59:29,23.199,23199,2011-Australian Grand Prix,hamilton
841,153,3,35,17:59:45,26.348,26348,2011-Australian Grand Prix,alguersuari
841,808,2,36,17:59:47,25.683,25683,2011-Australian Grand Prix,petrov
841,814,2,36,18:00:48,24.332,24332,2011-Australian Grand Prix,resta
841,18,3,37,18:01:49,22.681,22681,2011-Australian Grand Prix,button
841,16,2,37,18:02:15,23.871,23871,2011-Australian Grand Prix,sutil
841,15,2,37,18:03:55,24.848,24848,2011-Australian Grand Prix,trulli
841,816,2,38,18:06:53,26.446,26446,2011-Australian Grand Prix,ambrosio
841,17,3,41,18:07:37,26.23,26230,2011-Australian Grand Prix,webber
841,22,4,40,18:08:03,26.309,26309,2011-Australian Grand Prix,barrichello
841,4,3,42,18:09:08,24.181,24181,2011-Australian Grand Prix,alonso
841,13,3,48,18:18:54,24.095,24095,2011-Australian Grand Prix,massa
842,16,1,3,16:09:07,31.694,31694,2011-Malaysian Grand Prix,sutil
842,22,1,3,16:10:04,32.978,32978,2011-Malaysian Grand Prix,barrichello
842,17,1,10,16:21:21,22.572,22572,2011-Malaysian Grand Prix,webber
842,814,1,11,16:23:16,22.773,22773,2011-Malaysian Grand Prix,resta
842,1,1,12,16:24:40,22.552,22552,2011-Malaysian Grand Prix,hamilton
842,20,1,13,16:26:17,23.019,23019,2011-Malaysian Grand Prix,vettel
842,2,1,13,16:26:28,23.9,23900,2011-Malaysian Grand Prix,heidfeld
842,18,1,13,16:26:29,22.4,22400,2011-Malaysian Grand Prix,button
842,13,1,13,16:26:30,29.224,29224,2011-Malaysian Grand Prix,massa
842,15,1,13,16:27:03,25.516,25516,2011-Malaysian Grand Prix,trulli
842,4,1,14,16:28:15,23.152,23152,2011-Malaysian Grand Prix,alonso
842,30,1,14,16:28:34,22.576,22576,2011-Malaysian Grand Prix,michael_schumacher
842,808,1,15,16:30:10,23.182,23182,2011-Malaysian Grand Prix,petrov
842,67,1,15,16:30:23,23.28,23280,2011-Malaysian Grand Prix,buemi
842,3,1,15,16:30:37,24.967,24967,2011-Malaysian Grand Prix,rosberg
842,5,1,15,16:30:37,29.084,29084,2011-Malaysian Grand Prix,kovalainen
842,153,1,16,16:32:25,23.584,23584,2011-Malaysian Grand Prix,alguersuari
842,16,2,16,16:32:31,22.046,22046,2011-Malaysian Grand Prix,sutil
842,155,1,17,16:33:53,23.28,23280,2011-Malaysian Grand Prix,kobayashi
842,815,1,17,16:34:14,23.597,23597,2011-Malaysian Grand Prix,perez
842,10,1,17,16:34:28,24.617,24617,2011-Malaysian Grand Prix,glock
842,816,1,17,16:34:39,26.252,26252,2011-Malaysian Grand Prix,ambrosio
842,24,1,17,16:34:56,27.815,27815,2011-Malaysian Grand Prix,liuzzi
842,22,2,17,16:35:41,24.502,24502,2011-Malaysian Grand Prix,barrichello
842,67,2,20,16:39:30,29.843,29843,2011-Malaysian Grand Prix,buemi
842,17,2,22,16:42:37,21.991,21991,2011-Malaysian Grand Prix,webber
842,18,2,23,16:44:11,22.471,22471,2011-Malaysian Grand Prix,button
842,1,2,24,16:45:48,22.611,22611,2011-Malaysian Grand Prix,hamilton
842,814,2,24,16:46:20,22.419,22419,2011-Malaysian Grand Prix,resta
842,20,2,25,16:47:27,21.893,21893,2011-Malaysian Grand Prix,vettel
842,4,2,26,16:49:19,23.894,23894,2011-Malaysian Grand Prix,alonso
842,2,2,26,16:49:31,23.221,23221,2011-Malaysian Grand Prix,heidfeld
842,13,2,27,16:51:17,22.541,22541,2011-Malaysian Grand Prix,massa
842,808,2,27,16:51:25,22.68,22680,2011-Malaysian Grand Prix,petrov
842,30,2,28,16:53:26,22.261,22261,2011-Malaysian Grand Prix,michael_schumacher
842,3,2,29,16:55:28,22.577,22577,2011-Malaysian Grand Prix,rosberg
842,17,3,32,17:00:01,22.069,22069,2011-Malaysian Grand Prix,webber
842,153,2,32,17:00:55,22.888,22888,2011-Malaysian Grand Prix,alguersuari
842,16,3,32,17:00:56,22.55,22550,2011-Malaysian Grand Prix,sutil
842,67,3,32,17:01:03,27.439,27439,2011-Malaysian Grand Prix,buemi
842,5,2,34,17:04:41,23.336,23336,2011-Malaysian Grand Prix,kovalainen
842,10,2,34,17:05:19,24.429,24429,2011-Malaysian Grand Prix,glock
842,816,2,35,17:07:20,24.416,24416,2011-Malaysian Grand Prix,ambrosio
842,155,2,36,17:07:26,23.442,23442,2011-Malaysian Grand Prix,kobayashi
842,1,3,37,17:08:28,25.382,25382,2011-Malaysian Grand Prix,hamilton
842,814,3,37,17:09:21,23.977,23977,2011-Malaysian Grand Prix,resta
842,18,3,38,17:10:13,22.483,22483,2011-Malaysian Grand Prix,button
842,13,3,38,17:10:28,22.893,22893,2011-Malaysian Grand Prix,massa
842,2,3,39,17:12:09,22.602,22602,2011-Malaysian Grand Prix,heidfeld
842,24,2,38,17:13:32,26.554,26554,2011-Malaysian Grand Prix,liuzzi
842,3,3,40,17:15:05,22.526,22526,2011-Malaysian Grand Prix,rosberg
842,20,3,41,17:15:08,22.313,22313,2011-Malaysian Grand Prix,vettel
842,4,3,41,17:15:25,23.812,23812,2011-Malaysian Grand Prix,alonso
